SOPID,StepNumber,StepTitle,StepOrder,StepSummary,FormsReferenced,ResponsibleRole
LP-01,7.2,Handling of Hazardous Chemicals,2,"In diluting, always add acid to water unless otherwise directed in method.",,
LP-01,7.3,Engineering,3,Laboratory Management or designated personnel: A.,,
LP-01,7.4,Safety Audits,4,"Laboratory Management or designated personnel perform weekly safety audits to ensure the application of this procedure, using the form FM LP01.01 Laboratory Safety Checklist.",FM LP01.01,
LP-01,7.5,Emergency Response Procedures,5,Chemical Spill: Notify the Laboratory Manager immediately.,,Laboratory Manager
LP-01,7.6,First Aidt Procedures,6,First aid procedures for common laboratory incidents are provided below and shall be applied pending the arrival of professional medical assistance.,FM LP01.01,Laboratory Manager
LP-02,7.1,Definitions and Rules for Significant Figures,1,All non-zero digits are significant.,,
LP-02,7.2,Significant Figures in Calculated Results,2,"Most analytical results in the Laboratory are obtained by arithmetic combination of numbers: addition, subtraction, multiplication, and division.",,
LP-02,7.3,Rounding,3,The number of digits used for calculations and the number of digits appearing in a reportable value should be considered separately.,,
LP-02,7.4,Expression of Weights and Measures,4,"In general, weights and measurements are expressed in the International System of Units.",,
LP-02,7.5,Basic Statistical Principles,5,"All results from studies using analytical data are, at best, estimates of the true value because they contain uncertainty.",,
LP-02,7.6,Estimating the center and dispersion from a sample,6,"Let Y1, Y2, …,Yn represent a sample of (n) observation from a population of interest.",,
LP-03,7.1,Overview of OOS Investigation,1,"Although Laboratory management is the overall responsible for OOS investigation, the first responsibility for achieving accurate laboratory testing results lies with the analyst who is performing the test.",FE LP03.01; FM LP03.01,
LP-03,7.2,Phase I: Identification of the Assigned Cause,2,The objective of Phase I is to identify an assigned cause linked to a laboratory issue or not.,FM LP03.01,
LP-03,7.3,Phase II: Verification of OOS by retesting,3,"If no laboratory-assigned cause is identified in Phase I of the OOS investigation, the result is confirmed by retesting.",,
LP-03,7.4,Closing of Investigation,4,The following scenarios are possible: A.,,
LP-03,7.5,Timeframes to Complete OOS Investigations,5,"Unless otherwise justified and documented, the following default timelines apply to OOS investigations: A.",FE LP03.01; FM LP03.01,Laboratory Manager
LP-04,7.1,General Requirements,1,Laboratory management shall guarantee that only the latest validated version of the spreadsheet is being used and maintain the validated state of the spreadsheet.,FM LP04.01,
LP-04,7.2,Preparing the Excel Spreadsheet for Validation,2,"Cells used for calculation shall be locked to prevent unauthorized or unintentional modifications, except for those used for data input.",,
LP-04,7.3,Validation of the Protections,3,"Verify and document the following points: ▪ Access rights to the spreadsheet (e.g., on the file directory) are correct: the file cannot be modified or deleted by users.",,
LP-04,7.4,Validation of the Calculations with a Calculator (Manual Calculation),4,"Using the printed formulas from the spreadsheet, calculate all the values using a scientific calculator and compare with the results given by the spreadsheet;",FM LP04.01,
LP-05,7.1,Selection of Reference Materials and Standards,1,"Reference materials are selected based on their intended use (i.e., test method requirements).",,
LP-05,7.2,Documentation Accompanying a Certified Reference Material,2,"At receipt, Laboratory Management or designated Laboratory Analyst verifies the documentation accompanying a RM.",,Laboratory Analyst
LP-05,7.3,Identification of Reference Materials,3,The Laboratory uniquely identifies reference materials as follows: RS or RMYY# Where RS/RM stands for Reference Material;,FM LP05.01,
LP-05,7.4,"Handling, Use, Storage and Transport of Reference Materials",4,Laboratory personnel have access to the RMs required to carry out their activities according to the respective authorizations for each position.,FE LP05.01; FM LP05.02,
LP-05,7.5,Reference Materials Records,5,"The Laboratory keeps the following records of Reference Materials: ▪ Identification, ▪ Manufacturer, lot, or batch number, ▪ Evaluation that the RM meets the specified requirements, ▪ Location ▪ Documentation of RMs (see 6.2), ▪ Details of ",FE LP05.01; FM LP05.01; FM LP05.02,
LP-06,7.1,Verification on Receipt of Reagents and Consumables,1,"Laboratory management or authorized personnel conducts a verification at receipt, on the basis of: ▪ Checking the material against the purchase request;",FM QP05.05,
LP-06,7.2,Purchased Reagents and in their Original Container,2,An identification number is assigned each reagent as follows: RGYY# where # is a consecutive number starting at 001 and “YY” are the two last numbers of the current year;,FE LP06.01; FM LP06.01,
LP-06,7.3,In-House Prepared Reagents (Solutions),3,In-house prepared solutions (in-house prepared reagents and media) used in analyses are prepared according to associated SOP and/or method of analysis instructions.,FM LP06.02; FM LP06.03,
LP-06,7.4,Expiry Date,4,The expiry date (before opening) given by the manufacturer is considered valid.,,
LP-06,7.5,Storage,5,Store reagents and media in accordance with manufacturer’s recommendations and prepared solutions according to SOP or method of analysis instructions.,,
LP-06,7.6,Disposal of Reagents and Prepared Reagents,6,"Reagents are disposed of when the expiry date is exceeded, or when they are no longer required.",FE LP06.01; FM LP06.01; FM LP06.02; FM LP06.03; FM LP06.04; FM LP06.05,
LP-07,7.1,General Requirements,1,"Before being introduced for use, laboratory volumetric instruments should be calibrated or checked to demonstrate that they meet the laboratory’s requirements and comply with the relevant standard specification.",,
LP-07,7.2,Cleaning of Labware,2,"Labware should be cleaned immediately after use, at low temperatures, with brief soaking times, and low alkaline detergents.",,
LP-07,7.3,Volumetric Glassware Calibration,3,Calibration of volumetric glassware is documented using the form FM LP07.01 Calibration of Volumetric Glassware.,FE LP07.01; FE LP07.02; FM LP07.01,
LP-07,7.4,Identification of Volumetric Apparatus,4,Identify each internally calibrated volumetric apparatus using the following format: GW# Where GW stands for glassware;,FE LP07.01; FE LP07.02; FM LP07.01,
QP-01,5.1,Definition of the Organizational Structure,1,The organizational structure of the Laboratory is defined based on the need to carry out activities within the scope of the Laboratory.,,Quality Assurance Manager
QP-01,5.2,Definition of Personnel Responsibilities,2,Personnel responsibilities are defined using the following information as long as it is available: ▪ Recommendations from other laboratories.,FM QP01.02,Personnel
QP-01,5.3,Definition of Job Descriptions,3,Job Descriptions are determined based on the following information as long as it is available: ▪ Recommendations from other laboratories.,FM QP01.02,
QP-01,5.4,Selection of Personnel,4,The Laboratory selects its personnel based on: A.,FM QP01.03,Personnel
QP-01,5.5,Personnel Training,5,"Principally, there are four types of situations where training is needed: 5.5.1.",FM QP01.03; FM QP01.04; FM QP01.05; FM QP01.06; FM QP01.07; FM QP01.12,Personnel
QP-01,5.6,Supervision of Personnel,6,"The Laboratory supervises the technical personnel in charge of carrying out the services of the Laboratory, including those who are newly admitted and those who are in the process of being trained.",FM QP01.08; PM-01,Personnel
QP-01,5.7,Personnel Authorization,7,"Laboratory Director makes authorizations of the personnel to: ▪ Develop, modify, verify, and validate methods.",FM QP01.10; FM QP01.11,Quality Assurance Manager
QP-01,5.8,Monitoring Personnel Competence,8,Measuring the Effectiveness of Training The effectiveness of the training provided is evaluated as satisfactory if the proposed objectives are achieved once it is completed.,FM QP01.08,
QP-01,5.9,Contract and Temporary Personnel,9,Personnel performing work (for the Laboratory) under contract or temporary arrangements shall meet the same competency requirements as permanent staff.,,Personnel
QP-01,5.10,Conflict of Interest,10,All personnel involved in laboratory activities shall declare any potential conflicts of interest.,FM QP01.06,Laboratory Director
QP-01,5.11,Quality Management System Awareness,11,All personnel shall be made aware of the relevance and importance of their activities and how they contribute to the achievement of the management system objectives.,FM QP01.01; FM QP01.02; FM QP01.03; FM QP01.04; FM QP01.05; FM QP01.06; FM QP01.07; FM QP01.08; FM QP01.09; FM QP01.10; FM QP01.11; FM QP01.12; PM-01,Laboratory Manager
QP-02,5.1,General,1,"The Laboratory provides access to bench space and equipment, including but not limited, to HPLC and stirrers/mixers.",,
QP-02,5.2,Access Control,2,Access to laboratory areas shall be controlled and restricted to authorized personnel.,FM QP02.03,
QP-02,5.3,Suitability of Facilities and Environmental Conditions,3,Laboratory management assesses the suitability of facilities for the services it offers and documents them using the form FM QP02.01 Assessment of Suitability of Facilities and Environmental Conditions.,FM QP02.01; FM QP02.02,Laboratory Manager
QP-02,5.4,Cross Contamination Prevention,4,Laboratory Management ensures effective separation between incompatible laboratory activities by planning laboratory work.,,
QP-02,5.5,Segregation,5,"Hazardous chemical reagents are stored in appropriate cabinets (i.e., flammable, corrosive).",,
QP-02,5.6,Housekeeping,6,"Housekeeping, as a minimum, includes the following activities: ▪ Sweeping or mopping floors;",FM QP02.01; FM QP02.02; FM QP02.03,Analyst
QP-03,5.1,Selection of Equipment,1,The Laboratory selects the equipment it requires based on the services it performs or it intends to perform.,FM QP03.01,
QP-03,5.2,Compliance with Specified Requirements and Uncertainty,2,Equipment requirements are defined in accordance with the services offered by the Laboratory.,FE QP03.01; FM QP03.01; FM QP03.02; FM QP03.03,Laboratory Manager
QP-03,5.3,"Handling, Use, Storage and Transport of Equipment",3,"Laboratory personnel have access to the equipment required to carry out their activities, according to the respective authorizations for each position.",FE QP03.01; FM QP03.02,Laboratory Manager
QP-03,5.4,Equipment Identification,4,"The Laboratory uniquely identifies measuring equipment and general service equipment, as follows: B.",FM QP03.04,
QP-03,5.5,Equipment Leaving Direct Control of the Laboratory,5,"When, for whatever reason, i.e., repair or calibration, equipment goes outside the direct control of the laboratory, the laboratory ensures that the function and calibration status of the equipment and its software (if applicable) are check",FM QP03.03,
QP-03,5.6,Damaged or Out of Service Equipment and Equipment Decommissioning,6,"Equipment damaged, out of the specification required or equipment that is not in use, and therefore has not been calibrated, verified, or not operating properly must be clearly tagged using the label indicated in the form FM QP03.05 Identif",FM QP03.03; FM QP03.05; FM QP03.06; FM QP03.07,
QP-03,5.7,Equipment Calibration and Qualification (AIQ),7,"There are many ways of demonstrating that an instrument is qualified and under control, and these can include qualification, calibration, validation, and maintenance.",FE QP14.01; FM QP03.08; PM-02,
QP-03,5.8,Equipment Maintenance,8,"The Laboratory performs maintenance of equipment in accordance with the manufacturer’s instructions and international guidelines recommendations i.e., Eurachem, ICH, USP, etc.",PM-02,Laboratory Manager
QP-03,5.9,Update of Reference Values and Correction Factors,9,"Updating of reference values and correction factors is done by the Laboratory Manager, immediately to the calibration of equipment and at the most before the equipment is put back into service.",,Laboratory Manager
QP-03,5.10,Protection of laboratory equipment against unwanted adjustments,10,"Page 9 of 22 The inappropriate use and total or partial reproduction of this document is strictly forbidden, except if expressly authorized by Vertex Analytical Labs.",,Laboratory Manager
QP-03,5.11,Equipment Records,11,"The Laboratory keeps the following records for equipment: ▪ Identification, including software and firmware version;",,
QP-03,5.12,Guidelines on Equipment Validation (),12,"In order to ensure “fitness for purpose” an integrated approach, based upon risk assessment is recommended.",,
QP-04,5.1,Metrological Traceability General Guidelines,1,"The Laboratory evidences the metrological traceability of the services it performs, through the issuance of a metrological traceability chart for each of them, according to the form FM QP04.01 Metrological Traceability Tracking.",FM QP04.01,
QP-04,5.2,Cases of Exception of Metrological Traceability,2,"In cases where it is not technically possible to achieve metrological traceability to units of the International System, the Laboratory evidences its metrological traceability to an appropriate reference, such as: A.",FM QP04.01,
QP-05,5.1,Overview of the Process to Procure Products and Services,1,"The Laboratory defines, internally, its requirements for externally provided products and services using the form FM QP05.01 Purchase Request.",FM QP05.01; FM QP05.02; FM QP05.03; FM QP05.04; FM QP05.05,
QP-05,5.2,Definition of Purchase Specifications,2,Laboratory Manager and Analysts identify the key products and services for the development of laboratory activities and record them using the form FM QP05.01 Purchase Request.,FM QP05.01,Laboratory Manager
QP-05,5.3,Criteria for Selection of External Providers,3,"Once the products and/or services have been defined, the external providers are initially evaluated and selected based on the ability to meet contract conditions and quality system criteria using the form FM QP05.02 Evaluation of External V",FM QP05.02; FM QP05.03,
QP-05,5.4,Additional Requirements for Subcontracting Testing Services,4,The Laboratory Manager and Quality Assurance Manager shall use the form FM QP05.04 Testing Service Provider Assessment to document the selection and evaluation of testing service providers.,FM QP05.04,Laboratory Manager
QP-05,5.5,External Provider Monitoring and Re-evaluation,5,"The Laboratory evaluates the suppliers of the products and services that affect the quality of the services in case of a change in the fulfillment of the purchase specifications, a re-evaluation of the supplier is made using the form FM QP0",FM QP05.03; FM QP05.06,Laboratory Manager
QP-05,5.6,Communicating requirements,6,"The laboratory communicates the following requirements to providers of products and services if/as applicable: ▪ Specific products or services to be provided, ▪ Acceptance criteria, ▪ Competency requirements, ▪ Any activities that would be ",FE QP05.01; FM QP05.05,
QP-05,5.7,Inspection and Verifications of Products and Services at Reception,7,"The Laboratory Manager ensures that purchased supplies, reagents, consumable materials, and services that affect the quality of tests are not used until they have been inspected or otherwise verified as complying with pre-established requir",FE QP05.01; FM QP05.01; FM QP05.02; FM QP05.03; FM QP05.04; FM QP05.05; FM QP05.06,Laboratory Manager
QP-06,5.1,Definition of Requirements (Review of Requests),1,"Prior to accepting any services, all customer requirements will be adequately understood, documented, and agreed upon: ▪ The Laboratory has all necessary resources available to carry out the agreed requirements;",FE QP06.01; FM QP06.01; FM QP06.02,Laboratory Manager
QP-06,5.2,Review of the Contract,2,"Once the requirements of the customer are fully understood and documented by the Laboratory, Customer Service Representative sends a proposal using the form FM QP06.02 Quotation of Services and a copy of the form FM QP06.03 Sample Submissio",FM QP06.02; FM QP06.03; FM QP06.04; FM QP06.05,Customer Support
QP-06,5.3,Review of Subcontracted Services,3,"If the Laboratory is going to subcontract part or the whole of a service, the contract review shall include the subcontracted service and must be endorsed by the customer.",,Laboratory Manager
QP-06,5.4,Deviations to the Contract,4,"When the laboratory is unable to comply with a contracted requirement (e.g., due to sample condition, equipment failure, or method limitation), the customer shall be notified promptly by the Laboratory Manager or the Customer Support Repres",,Laboratory Manager
QP-06,5.5,Modifications to Contract once Started the Service,5,"If once a service is started, and the initial contract must be modified, the adjustments made to the contract, including the new reviews, are recorded.",,
QP-06,5.6,Cooperation with the Customer,6,The laboratory cooperates with its customers for any clarification about the service offered.,FE QP06.01; FM QP06.01; FM QP06.02; FM QP06.03; FM QP06.04; FM QP06.05,Laboratory Director
QP-07,5.1,Method Selection,1,"An integral part of the Laboratory Quality System is the use of standard and appropriate methods and procedures for all services offered within its scope, including for the evaluation of measurement uncertainty (when required).",FM QP07.01,
QP-07,5.2,Minimum Performance Parameters for Test Method Verification,2,The process of assessing the suitability of compendial/reference analytical test methods under the conditions of actual use may or may not require actual laboratory performance of each analytical performance characteristic.,FM QP07.01,Laboratory Manager
QP-07,5.3,Minimum Performance Parameters for Test Method Validation,3,Non-standard and laboratory-developed methods must be validated.,,
QP-07,5.4,Test Method Verification / Validation Documentation,4,Methods allocated for verification or validation are included in the form PM-03 Test Method Validation/Verification Program by the Laboratory Manager.,FM QP07.02; PM-03,Laboratory Manager
QP-07,5.5,Analytical Determination of Test Method Performance Parameters,5,Specific procedures for the determination of the performance parameters of Test Method have been issued by authoritative sources.,,
QP-07,5.6,Continued Test Method Performance Verification,6,"Once a method is in routine use, its continued fitness for purpose shall be monitored through: A.",,
QP-07,5.7,Changes to Validated Test Methods,7,Changes to Validated Test Methods that may affect the final result shall be communicated to the Customer by the Laboratory Manager.,,Laboratory Manager
QP-07,5.8,Validation Tools,8,The following tools can be used to substantiate a method’s ability to meet satisfactory specifications or performance: A.,FM QP07.01; FM QP07.02; PM-03,
QP-08,5.1,Transportation of Samples,1,The Laboratory does not perform transportation of samples from the customer facilities to the Laboratory.,,Laboratory Manager
QP-08,5.2,Reception and Identification of Samples,2,Samples are received in the Front Desk area.,FM QP06.03,Laboratory Manager
QP-08,5.3,Identification of Samples,3,"If the sample complies with the previous requirements, an identification number is assigned using the following format: SYYMMX# Where YY are the two last numbers of the current year, MM, two digits for the current month, add letter X and # ",,
QP-08,5.4,Recording of Received Samples,4,"The Laboratory Manager or designated personnel uses the sheet 1 “Received Samples” of electronic form FE QP08.01__List__of Received Samples, available VERT Ge ralytical Labs LLC/6_Software_and_Spreadsheets to record the following: Jan Er EE",FE QP08.01,Laboratory Manager
QP-08,5.5,Sample Storage,5,Samples awaiting analysis.,,
QP-08,5.6,Handling of Samples,6,Sample transfer within the laboratory A.,FE QP08.01,Analyst
QP-08,5.7,Sample Retention,7,Samples are retained for 30 days after the report of testing (Analytical Report) is issued.,,
QP-08,5.8,Disposal or Return of Samples,8,"Samples are disposed of in accordance with Federal, State and Local regulations.",FE QP08.01,Laboratory Manager
QP-09,5.1,Method Category Classification,1,"Before developing an MU budget, each quantitative method on the scope of accreditation shall be classified into one of three categories.",,
QP-09,5.2,GUM Bottom-up Procedure (Category 3 – Full Budget),2,"For Category 3 methods, apply the following five-step GUM-compliant process.",,
QP-09,5.3,Top-Down / Empirical Approach (Simplified – Category 2 & 3),3,As an alternative to the full GUM bottom-up analysis the Laboratory may use an empirical top-down approach based on method performance data.,,
QP-09,5.4,Measurement Uncertainty Budget Management,4,Initial Establishment A new MU budget shall be established prior to first use of any quantitative method that enters the scope of accreditation.,FE QP09.01,
QP-09,5.5,Periodic Review and Update Triggers,5,An MU budget shall be reviewed and updated whenever any of the following occur: ▪ A new or replaced major instrument is introduced.,,
QP-09,5.6,Reporting of Measurement Uncertainty,6,"MU shall be reported in test reports and calibration certificates as follows, in accordance with QP-11 and ISO/IEC 17025:2017 §§7.8.2–7.8.4: Context Requirement Reporting Format Required — report U with Result ± U (unit), 95% confidence, k ",,
QP-09,5.7,Issuing Spreadsheets for Calculation of Uncertainty of Measurement,7,Spreadsheets for calculation of uncertainty of measurement are prepared by trained personnel.,,
QP-09,5.8,Tracking of Uncertainty of Measurement,8,The Laboratory tracks the uncertainty of measurement for its services (when applicable) using the form FE QP09.01 Tracking of Uncertainty of Measurement.,FE QP09.01,Laboratory Manager
QP-10,5.1,Quality Control Materials,1,"Quality control materials may include, but are not limited to, Certified Reference Materials (CRMs), Reference Materials (RMs), replicate analysis, positive/negative control samples, laboratory control samples, blanks, and matrix spikes.",,
QP-10,5.2,Internal Quality Control,2,"Quality Control is used to measure accuracy, precision, contamination, and matrix effects.",,
QP-10,5.3,External Quality Control Program,3,"The laboratory participates in Proficiency Tests (PT), and if possible, in inter-laboratory comparisons (ILC), according to the plan indicated in the form PM-04 Proficiency Test Program.",PM-04,Quality Assurance Manager
QP-10,5.4,Other Quality Control Monitoring Activities,4,Other QC procedures that are used include: A.,,
QP-10,5.5,Evaluation of Quality Control Data,5,All Analytical Worksheets are submitted to the Laboratory Manager for review.,,Laboratory Manager
QP-10,5.6,Quality Control Charts,6,The control chart is a graphical presentation of QC efficiency.,,
QP-10,5.7,Statistical Process Control,7,Statistical limits are determined at the 99% confidence interval.,PM-04,
QP-11,5.1,Reporting Raw Data,1,Use of Logbooks and Worksheets A.,,Laboratory Manager
QP-11,5.2,Attachments,2,Attachments can consist of: ▪ Instrument generated reports and charts;,,Analyst
QP-11,5.3,Instrument Generated Reports and Charts,3,"When instrument generated reports are included in the analytical package, print the report in a way that provides information needed to interpret its graphic, tabular, or computational output, such as: absorbency Page 6 of 12 The inappropri",,Analyst
QP-11,5.4,Deviations and Modifications,4,"Whenever there is a need to (a) Deviate from or add to an official method, (b) Use an entirely new method for a sample analysis or (c) Modify test conditions such that it may affect the integrity of the analysis and interpretation of result",,Analyst
QP-11,5.5,Additional Analysis,5,"Whenever a check or additional analysis is performed, a new Analytical Worksheet or a new entry in the logbooks is made to report the results.",,
QP-11,5.6,Reviewing Analytical Results,6,A second qualified Analyst or Laboratory Manager will review the package prior to it being forwarded to final report.,,Laboratory Manager
QP-11,5.7,Authorizing Analytical Results,7,Analytical packages (Analytical worksheets and attachments) are approved by the Laboratory Manager.,,Laboratory Manager
QP-11,5.8,Reporting Results (Test Report),8,"The Laboratory presents analytical findings on the FM QP11.01 Analytical Testing Report, in a clear and concise manner to expedite interpretation of the results, especially by non-technical and non-scientific personnel.",FM QP11.01,Laboratory Manager
QP-11,5.9,Electronic Report Security and Integrity,9,Test reports transmitted electronically shall be protected by the following measures: A.,,
QP-11,5.10,Additional Requirements to Report Subcontracted Tests,10,"The test report shall include a statement indicating that it contains subcontracted tests e.g., “This report contains data that were produced under subcontract by Laboratory [Name of the Laboratory], accredited by [Name of the Accreditation",,
QP-11,5.11,Opinions and Interpretations,11,"Analytical findings are interpreted by the Laboratory Manager and are comprised, but not limited to: A.",,Laboratory Manager
QP-11,5.12,Issuing Modifications or Amendments to Analytical Reports,12,"To issue a modification or amendment to an analytical report, Laboratory Manager: A.",FM QP11.01,Laboratory Manager
QP-12,5.1,Reception of Complaints,1,"The Laboratory has the following ways for receive any expression of dissatisfaction from the customers: ▪ Web page, ▪ Mail contact (customersupport@vertexanalytical.com), ▪ Phone call to +1 888-316-1414, and ▪ In facilities (9335 Airway Roa",FE QP12.01; FM QP12.01,Quality Assurance Manager
QP-12,5.2,Validation of Complaints,2,"To ensure impartiality, the Quality Assurance Manager shall conduct an independent investigation of the complaint when they have not been involved in the activities related to the complaint.",FM QP12.01; FM QP12.02,Laboratory Manager
QP-12,5.3,Communicating with the Complainant,3,"Whenever possible, Quality Assurance staff or Customer Service Representatives acknowledge the receipt of a complaint and provide the individual filing the complaint with progress reports.",FM QP12.01,Quality Assurance Manager
QP-12,5.4,Appeals to Complaints,4,"If the complainant appeals against the result of the complaint, the Quality Assurance Manager and/or Customer Service Representative shall request evidence of the reason why the complaint is being debated.",,Quality Assurance Manager
QP-12,5.5,Feedback,5,"The Laboratory collects customer feedback, positive or negative, through the Customer Service Representative using the form FM QP12.02 Customer Feedback Survey.",FE QP12.02; FM QP12.01; FM QP12.02,Laboratory Manager
QP-12,5.6,Complaints and Feedback Trend Analysis,6,"Complaint and feedback data, both from customers and lab staff, shall be analyzed at minimum annually by the Quality Assurance Manager to identify trends and systemic issues.",FE QP12.01; FE QP12.02; FM QP12.01; FM QP12.02,Quality Assurance Manager
QP-13,5.1,General,1,Nonconformance logs are initiated by the person detecting or receiving (externally detected) the nonconformity.,FE QP13.01; FM QP13.01,Quality Assurance Manager
QP-13,5.2,Identification and Initial Documentation of Nonconforming Work,2,"Nonconformances are assigned an identification number using the following format: NCRYY# Where YY are the two final digits of the current year, e.g.",,
QP-13,5.3,Categories of Nonconforming Work,3,"The Laboratory uses the following categories of Nonconforming Work to refer to the different ways in which a laboratory's operations, processes, or results can fail to meet specified standards or expectations: A.",,Personnel
QP-13,5.4,Severity Classification of Nonconforming Work,4,All nonconforming work shall be classified according to the following severity levels: A.,,
QP-13,5.5,Nonconforming Work Investigation and Evaluation,5,"Area management (QA, QC) conducts a preliminary investigation to determine if the nonconforming work presented proceeds;",FM QP13.01,Laboratory Manager
QP-13,5.6,Application of Corrective Actions,6,"If possible, an immediate correction is applied to eliminate nonconforming work.",,Laboratory Manager
QP-13,5.7,Investigating Out-of-Specification Results (OOS),7,"If the nonconforming work detected is an Out-of-Specification Result, the Laboratory Manager uses the procedure LP-03 Management of Out-of-Specification Results to conduct an objective and timely assessment of the NC.",,Laboratory Manager
QP-13,5.8,Records of Nonconforming Work,8,"The records associated with nonconforming work, including corrective action reports, are retained by the Quality Assurance personnel for at least 5 years.",FE QP13.01; FM QP13.01,
QP-14,5.1,General,1,All documents issued in the Laboratory as part of the management system are reviewed and approved for use by authorized personnel prior to use.,FE QP14.01; FM QP14.01; FM QP14.02,Quality Assurance Manager
QP-14,5.2,Control of Internal Documents,2,The laboratory issues and controls the following types of internal documents: A.,,
